City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,2015-01-08 05:00:00,46.42,91.5,29.23,32.35,58.88,15.38,29.23,15.52,6.92,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-08 06:00:00,46.42,91.5,23.67,34.09,55.37,15.38,23.67,15.55,5.83,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-08 08:00:00,46.42,91.5,31.27,29.95,59.6,15.38,31.27,10.02,7.83,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-08 12:00:00,46.42,91.5,7.96,24.12,20.85,15.38,0.8,38.44,49.42,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-08 13:00:00,46.42,91.5,7.96,27.53,23.98,15.38,0.8,71.95,67.46,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-08 14:00:00,46.42,91.5,7.96,18.22,13.57,15.38,0.8,51.85,87.46,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-08 15:00:00,46.42,91.5,7.96,16.88,10.93,15.38,0.8,47.24,85.08,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-08 18:00:00,46.42,91.5,0.58,29.7,31.45,15.38,0.58,49.03,61.42,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-08 19:00:00,46.42,91.5,38.17,57.29,99.32,15.38,38.17,73.04,18.5,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-08 22:00:00,46.42,91.5,216.6,63.79,287.52,15.38,216.6,48.01,23.88,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-09 00:00:00,46.42,91.5,207.68,58.78,269.27,15.38,207.68,38.53,15.75,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-09 01:00:00,46.42,91.5,107.35,51.19,154.42,15.38,107.35,54.99,8.29,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-09 04:00:00,46.42,91.5,7.96,38.08,27.15,15.38,0.8,95.96,8.08,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-09 06:00:00,46.42,91.5,3.9,37.06,35.27,15.38,3.9,37.9,6.5,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-09 07:00:00,46.42,91.5,4.0,34.95,35.42,15.38,4.0,36.22,7.33,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-09 08:00:00,46.42,91.5,2.98,32.88,33.27,15.38,2.98,66.97,9.12,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-09 10:00:00,46.42,91.5,0.8,26.11,25.23,15.38,0.8,178.95,25.0,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-09 11:00:00,46.42,91.5,0.03,24.19,21.24,15.38,0.03,110.77,42.5,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-09 12:00:00,46.42,91.5,7.96,27.92,16.15,15.38,0.8,50.45,28.75,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-09 13:00:00,46.42,91.5,7.96,39.0,20.79,15.38,0.8,42.0,7.0,0.86,2.59,0.79,116.0,Moderate
Ahmedabad,2015-01-09 14:00:00,46.42,91.5,7.96,38.0,20.79,15.38,0.8,94.0,10.0,0.86,2.59,0.79,116.0,Moderate
Ahmedabad,2015-01-09 15:00:00,46.42,91.5,0.03,10.77,7.3,15.38,0.03,35.6,83.62,0.0,0.0,0.0,116.0,Moderate
